# نموذج ملف المخطط
# Sample Plan File
# حفظ هذا الملف بصيغة Excel (.xlsx)
# الصفوف الأولى تحتوي على الأعمدة المطلوبة

الاسم,كمية_المخطط
تسوية الموقع,950
حفريات الأساسات,520
خرسانة النظافة,310
خرسانة القواعد,280
عزل تحت البلاط,820
طمم وردم,420
مدات أرضية,210
أعمدة خرسانية,200
خرسانة الأسقف,360
حديد التسليح,55
الطوب الخارجي,160
الطوب الداخلي,210
تمديدات صحية,480
تشطيبات صحية,22
بلاط داخلي,580
بلاط خارجي,420
مطابخ,3
شبابيك,32
أبواب,26
قصارة بياض,1600
دهان,1600
أعمال حجرية,110
عزل السطح,280
أعمال كهربائية,750
مفاتيح وإنارة,85
إضاءة داخلية,52
إضاءة خارجية,12
مكيفات,11
