# نموذج ملف العطاء
# Sample Quote File
# حفظ هذا الملف بصيغة Excel (.xlsx)
# الصفوف الأولى تحتوي على الأعمدة المطلوبة

الاسم,الفئة,الوحدة,كمية_العطاء,سعر_الوحدة,ملاحظات
تسوية الموقع,01,متر مربع,1000,50,أعمال تسوية أولية
حفريات الأساسات,02,متر مكعب,500,100,حفر على عمق 2 متر
خرسانة النظافة,03,متر مكعب,300,400,خرسانة عادية بسمك 10 سم
خرسانة القواعد,04,متر مكعب,250,450,خرسانة مسلحة للقواعد
عزل تحت البلاط,05,متر مربع,800,75,عزل رطوبة وحرارة
طمم وردم,06,متر مكعب,400,80,طمم بالحجر والرمل
مدات أرضية,07,متر طولي,200,150,مدات خرسانية
أعمدة خرسانية,08,متر مكعب,180,500,أعمدة مسلحة
خرسانة الأسقف,09,متر مكعب,350,480,خرسانة عقدات وربس
حديد التسليح,10,طن,50,5000,حديد عالي المقاومة
الطوب الخارجي,11,ألف طوبة,150,250,طوب أحمر مشبع
الطوب الداخلي,12,ألف طوبة,200,200,طوب إسمنتي
تمديدات صحية,13,متر طولي,500,80,أنابيب صرف وتوزيع مياه
تشطيبات صحية,14,عدد,20,300,مقاعد ومغاسل
بلاط داخلي,15,متر مربع,600,120,بلاط بورسلين
بلاط خارجي,15,متر مربع,400,150,بلاط حجري
مطابخ,16,عدد,3,5000,دواليب وتجهيزات
شبابيك,17,عدد,30,400,نوافذ ألومنيوم
أبواب,18,عدد,25,350,أبواب خشبية داخلية
قصارة بياض,19,متر مربع,1500,40,بياض داخلي وخارجي
دهان,20,متر مربع,1500,35,دهان أكريليك
أعمال حجرية,21,متر مربع,100,200,حجر طبيعي للواجهة
عزل السطح,22,متر مربع,250,90,عزل رطوبة وحرارة
أعمال كهربائية,23,متر طولي,800,50,أباريز وتمديدات
مفاتيح وإنارة,24,عدد,80,25,مفاتيح وأباريز ومصابيح
إضاءة داخلية,25,عدد,50,200,وحدات إضاءة LED
إضاءة خارجية,26,عدد,10,350,أباريز خارجية
مكيفات,27,وحدة,10,1500,مكيفات هواء
